mode,n,procs,time_s,mem_max_mb,mem_avg_mb
serial,103,1,0.000013,10.172000,
serial,1003,1,0.000016,10.328000,
serial,10003,1,0.000008,10.328000,
serial,100003,1,0.000012,10.376000,
serial,1000003,1,0.000037,10.376000,
serial,10000003,1,0.000096,10.426000,
serial,100000003,1,0.000253,10.426000,
mpi,103,1,0.000289,24.904000,24.904000
mpi,103,2,0.000039,25.198000,25.108000
mpi,103,4,0.000061,25.038000,24.864000
mpi,103,8,0.000169,25.154000,24.908000
mpi,1003,1,0.000023,24.864000,24.864000
mpi,1003,2,0.000036,25.206000,25.156000
mpi,1003,4,0.000076,25.034000,24.846000
mpi,1003,8,0.000162,25.104000,24.896000
mpi,10003,1,0.000025,24.924000,24.924000
mpi,10003,2,0.000031,25.158000,25.084000
mpi,10003,4,0.000058,25.052000,24.882000
mpi,10003,8,0.000095,25.122000,24.894000
mpi,100003,1,0.000030,24.846000,24.846000
mpi,100003,2,0.000037,25.198000,25.098000
mpi,100003,4,0.000107,25.002000,24.842000
mpi,100003,8,0.000245,25.200000,24.922000
mpi,1000003,1,0.000048,24.838000,24.838000
mpi,1000003,2,0.000045,25.188000,25.154000
mpi,1000003,4,0.000095,25.004000,24.824000
mpi,1000003,8,0.000150,25.122000,24.874000
mpi,10000003,1,0.000098,24.858000,24.858000
mpi,10000003,2,0.000075,25.206000,25.148000
mpi,10000003,4,0.000117,25.090000,24.902000
mpi,10000003,8,0.000132,25.180000,24.910000
mpi,100000003,1,0.000260,24.842000,24.842000
mpi,100000003,2,0.000169,25.112000,24.992000
mpi,100000003,4,0.000173,25.064000,24.822000
mpi,100000003,8,0.000190,25.166000,24.876000
